Hue,Saturation,Value,Label
109.9329013278048,37.10597087430185,184.5693185377689,mentah
111.1585521565546,34.50845465169679,189.70168034533012,mentah
109.746324280883,41.93770763540848,181.17881589583024,mentah
110.27944424387861,39.80073736700716,203.18481840902334,mentah
107.33847898062712,55.31570146756673,200.95620435836926,mentah
106.811855940347,58.086596740348064,188.3248902676315,mentah
107.02650300494808,53.36593306026885,191.42414521902674,mentah
108.89725174669243,45.24012956184035,199.135854362882,mentah
108.76838581263671,48.35879431767504,196.72661567391003,mentah
107.4895907715974,54.3459350246342,195.73129688595,mentah
105.94042630709933,66.99166015749432,212.22843561527108,mentah
107.49931711758585,57.979480262773684,205.82418083973965,mentah
107.36812969854955,53.09330370415596,196.04968351154199,mentah
107.81276362977553,86.37746748510799,209.34919505816114,mentah
107.59805658898576,82.49015088117713,220.85569148314892,mentah
107.31951298339315,88.75624880545351,208.36672229050308,mentah
107.59987711102912,88.13001145437363,207.67744515372488,mentah
107.91426175699208,83.46556280062754,206.2124885854446,mentah
107.87456639621249,83.32174670238803,218.87134883544988,mentah
108.01196653544352,84.645201357403,218.79304233074603,mentah
108.72691182189577,82.97041572872645,220.3641767450997,mentah
108.05818569623479,83.27376699574211,217.90495184318524,mentah
107.41852753230584,87.34697096190193,217.15072820881736,mentah
110.00894765099068,59.312111108751516,201.02052131336404,mentah
109.60140803850156,55.86933303823611,216.2114431913504,mentah
109.99441781785555,45.86980057046232,200.26930378843784,mentah
109.07091259370554,57.47897664528871,200.48605317191914,mentah
109.7241627888148,47.72487346102593,199.8678498096689,mentah
109.69226059960926,45.46027212101021,191.74058680769394,mentah
110.02521339245897,53.884282041055236,206.35869726077215,mentah
109.63115017241287,51.37957212671749,210.43584878833167,mentah
109.65642669333603,56.54934447601882,219.85576962639894,mentah
109.65590665083671,59.47110300773535,217.14902689255985,mentah
110.13246367583193,48.79045879212767,190.38400878854404,mentah
110.20871962533712,57.78265508531717,197.43755408641084,mentah
110.0465557906305,59.32408087942513,210.59455573820318,mentah
109.69165154680499,56.7815566832222,196.233294184284,mentah
109.2202858217949,54.59127521488564,197.79013045775022,mentah
110.08667903132897,62.48287683960161,204.3192255456423,mentah
110.07465525719914,52.61742665816327,193.1964724544214,mentah
109.92278277238314,36.9744081685744,184.2072232069857,mentah
110.25928718424154,55.41217138357684,206.01059313879037,mentah
110.975357086448,41.66353665067744,199.40778407974793,mentah
109.8978366597029,59.18551224144705,200.81839035854978,mentah
109.97521017381979,36.64268550975281,186.0839625164582,mentah
110.61614509227208,38.73048119319268,188.88316455939815,mentah
